Topic,Words,Frequency,Timestamp,Name
0,"socialism, freedom, collectivism, applied socialism, re practical",129,2013-05-04 04:06:14.400,Applied Socialism
0,"socialism, applied socialism, practical lesson applied, re practical lesson, lesson applied socialism",32,2013-09-25 10:48:00.000,Applied Socialism
0,"socialism, applied socialism, lesson applied socialism, re practical lesson, re practical",19,2014-02-13 21:36:00.000,Applied Socialism
0,"freedom, socialism, applied socialism, re practical lesson, practical lesson",8,2014-07-05 08:24:00.000,Applied Socialism
0,"socialism, applied socialism, practical lesson, practical lesson applied, lesson applied socialism",38,2014-11-23 19:12:00.000,Applied Socialism
0,"socialism, freedom, applied socialism, practical lesson, lesson applied socialism",22,2015-04-14 06:00:00.000,Applied Socialism
0,"socialism, applied socialism, re practical lesson, lesson applied socialism, practical lesson",4,2015-09-02 16:48:00.000,Applied Socialism
0,"socialism, applied socialism, lesson applied, re practical lesson, practical lesson applied",5,2016-01-22 03:36:00.000,Applied Socialism
0,"this lose, medical freedom intensifies, this lose country, media broadcasts civil, country freedom re",3,2016-06-11 14:24:00.000,Applied Socialism
0,"leftism you need, power problem socialism, problem socialism goy, leftism trump expect, need solve gender",2,2016-10-31 01:12:00.000,Applied Socialism
0,"freedom, socialism, applied socialism, re practical lesson, lesson applied socialism",15,2017-03-21 12:00:00.000,Applied Socialism
0,"socialism, applied socialism, practical lesson, re practical lesson, lesson applied",26,2017-08-09 22:48:00.000,Applied Socialism
0,"socialism, applied socialism, re practical, re practical lesson, lesson applied",132,2017-12-29 09:36:00.000,Applied Socialism
0,"socialism, lesson, socialism the, practical, applied socialism",1254,2018-05-19 20:24:00.000,Applied Socialism
0,"socialism, lesson, practical, applied socialism, lesson applied socialism",2491,2018-10-08 07:12:00.000,Applied Socialism
0,"socialism, lesson, applied socialism, practical lesson applied, re practical",2977,2019-02-26 18:00:00.000,Applied Socialism
0,"socialism, lesson, applied socialism, applied, practical",2082,2019-07-18 04:48:00.000,Applied Socialism
0,"socialism, practical, lesson, applied socialism, re practical lesson",340,2019-12-06 15:36:00.000,Applied Socialism
0,"socialism, lesson, horrors, applied socialism, practical lesson applied",274,2020-04-26 02:24:00.000,Applied Socialism
0,"socialism, applied socialism, lesson applied socialism, re practical, re practical lesson",283,2020-09-14 13:12:00.000,Applied Socialism
1,"trump, democrats, biden, pelosi, joe",30,2013-05-04 04:06:14.400,2020 Election Fraud Impeachment
1,"talk impeachment is, surges way past, impeachment is going, way past sanders, poll republicans back",7,2013-09-25 10:48:00.000,2020 Election Fraud Impeachment
1,"trump, poor sales, makes extreme statements, democrat makes extreme, look like anybody",5,2014-02-13 21:36:00.000,2020 Election Fraud Impeachment
