Topic,Label
0,Applied Socialism
1,2020 Election Fraud Impeachment
2,Border Wall Debate
3,Middle East Tensions Wars
4,EU Elections and Brexit Leaders
5,Funny Pictures Threads
6,Climate Change Funding
7,Global Central Banks
8,SGT Report Articles
9,Trump Deep State
10,Gun control and police shootings
11,Big Tech Censorship
12,US Trade War
13,Gold Silver Ratio
14,Epstein Maxwell Sex Scandal
15,Transgender Rights and Feminism
16,20th Century Jewish History
17,Kavanaugh Accuser
18,White Racism Follow
19,Favorite Music Youtube
20,Vaccine Lawsuit Losses
21,Diabetes and Health
22,Global Empire War
23,Planned Parenthood Abortion
24,Christianity & Religion
25,Mainstream Media and Fake News
26,Antifa Portland Attacks Journalist
27,Education Politics
28,Stormfront Criticism
29,Julian Assange Expulsion
30,Coronavirus Pandemic
