Topic,Words,Frequency,Timestamp
0,"weed, cart, review, cannabis, thc",893,2019-08-05 17:55:40.800
0,"weed, cannabis, cart, review, vendor",4118,2019-10-29 08:00:00.000
0,"better, better weed, direct better, grower direct, bitcoin purchace",10,2020-01-21 16:00:00.000
1,"help, sub, need, guy, back",381,2019-08-05 17:55:40.800
1,"help, need, guy, sub, back",1646,2019-10-29 08:00:00.000
1,"idrugs orscammers, professional idrugs, mcc source, roa making, best roa",8,2020-01-21 16:00:00.000
2,"order, shipping, package, pack, delivery",367,2019-08-05 17:55:40.800
2,"order, shipping, package, pack, delivery",1635,2019-10-29 08:00:00.000
2,"version monero, scientific gone, lfw business, gone private, business men",3,2020-01-21 16:00:00.000
3,"empire, empire market, empire empire, market, vendor",319,2019-08-05 17:55:40.800
3,"empire, empire market, empire empire, market, vendor",1490,2019-10-29 08:00:00.000
3,"prometh, empire, withrawing market, cannabis date, raw prometh",6,2020-01-21 16:00:00.000
4,"vendor, vendor vendor, new, new vendor, inquiry",577,2019-08-05 17:55:40.800
4,"vendor, vendor vendor, new, new vendor, inquiry",2555,2019-10-29 08:00:00.000
4,"full driving, drfrosty experience, driving lic, best defense, nt move",10,2020-01-21 16:00:00.000
5,"scammer, scam, exit, scamming, scammed",297,2019-08-05 17:55:40.800
5,"scammer, scam, exit, scamming, scammed",1344,2019-10-29 08:00:00.000
5,"domestic lyrica, legitconnect, new axcess, vendor legitconnect, partner eu",8,2020-01-21 16:00:00.000
6,"darknet, dark, web, dark web, darkfail",269,2019-08-05 17:55:40.800
6,"darknet, dark, web, dark web, darkfail",1113,2019-10-29 08:00:00.000
6,"world regular, admin pm, guarenteed full, question qualitywhite, meth guarenteed",8,2020-01-21 16:00:00.000
7,"mdma, mda, mdma vendor, vendor, usa",252,2019-08-05 17:55:40.800
7,"mdma, mda, mdma vendor, vendor, domestic",1063,2019-10-29 08:00:00.000
7,"adderall dosage, cooky cart, spotify subscription, oil economics, availalbe",4,2020-01-21 16:00:00.000
8,"xanax, mg, diazepam, xanax vendor, valium",230,2019-08-05 17:55:40.800
8,"xanax, mg, diazepam, xanax vendor, valium",997,2019-10-29 08:00:00.000
8,"xanax, cheap robinhood, spread prowar, trucks, stock referral",6,2020-01-21 16:00:00.000
9,"lsd, ug, tab, lsd vendor, vendor",180,2019-08-05 17:55:40.800
9,"lsd, ug, tab, lsd vendor, acid",825,2019-10-29 08:00:00.000
9,"lsd, man jacked, use chip, every two, fe twice",7,2020-01-21 16:00:00.000
10,"crosspost, giveaway, vendor, review, review crosspost",167,2019-08-05 17:55:40.800
10,"crosspost, giveaway, review, review crosspost, vendor",829,2019-10-29 08:00:00.000
10,"key problem, recomendations blow, working listing, problem wall, blow usausa",3,2020-01-21 16:00:00.000
11,"monero, btc, bitcoin, coin, wallet",166,2019-08-05 17:55:40.800
11,"monero, btc, bitcoin, coin, wallet",764,2019-10-29 08:00:00.000
11,"passport online, mysteryland are, shout theshift, back empiremarket, theshift",3,2020-01-21 16:00:00.000
12,"carding, card, credit, credit card, debit",134,2019-08-05 17:55:40.800
12,"carding, card, credit, credit card, debit",773,2019-10-29 08:00:00.000
12,"teacher trip, idshop, hq idshop, away canada, canada hq",2,2020-01-21 16:00:00.000
13,"dream, dream market, nightmare, market, dream dream",145,2019-08-05 17:55:40.800
13,"dream, dream market, nightmare, market, dream dream",731,2019-10-29 08:00:00.000
13,"dream, item chinese, auto refund, site aliexpress, msging",6,2020-01-21 16:00:00.000
14,"dispute, mod, moderator, please, dispute dispute",132,2019-08-05 17:55:40.800
14,"dispute, mod, moderator, dispute dispute, please",630,2019-10-29 08:00:00.000
14,"paid, paid paid, enough paid, enough, dispute",1,2020-01-21 16:00:00.000
15,"cocaine, cocaine vendor, fishscale, peruvian, pure",120,2019-08-05 17:55:40.800
15,"cocaine, cocaine vendor, fishscale, peruvian, colombian",650,2019-10-29 08:00:00.000
15,"sentenced eight, eight year, prison germany, eight, dealer sentenced",1,2020-01-21 16:00:00.000
16,"review, vendor review, review vendor, vendor, review review",179,2019-08-05 17:55:40.800
16,"review, vendor review, review vendor, vendor, review review",818,2019-10-29 08:00:00.000
16,"marksandspencer also, also known, vendor marksandspencer, marksandspencer, known",1,2020-01-21 16:00:00.000
17,"market, market market, new market, new, markets",190,2019-08-05 17:55:40.800
17,"market, market market, new market, new, markets",826,2019-10-29 08:00:00.000
17,"thc cap, newbieforever fairy, got number, fress, fairy tale",4,2020-01-21 16:00:00.000
18,"pgp, key, pgp key, public, public pgp",120,2019-08-05 17:55:40.800
18,"pgp, key, pgp key, public, public pgp",532,2019-10-29 08:00:00.000
18,"edible xtc, pill mushroom, happy order, weight all, use code",2,2020-01-21 16:00:00.000
19,"deposit, deposited, ticket, address, double",103,2019-08-05 17:55:40.800
19,"deposit, deposited, ticket, address, btc",540,2019-10-29 08:00:00.000
19,"mind international, bitcoin public, bitcoin refund, heieneknexpress, international price",3,2020-01-21 16:00:00.000
20,"bar, bunk, selaminy, bars, hulk",130,2019-08-05 17:55:40.800
20,"bar, bunk, selaminy, bars, hulk",459,2019-10-29 08:00:00.000
20,"isabil, get discount, discount using, code isabil, weed get",1,2020-01-21 16:00:00.000
21,"oxycodone, mg, oxy, opiate, opiateconnect",104,2019-08-05 17:55:40.800
21,"oxycodone, mg, oxy, opiate, opiateconnect",501,2019-10-29 08:00:00.000
21,"carding phones, lowdown, phones laptops, easyer, easyer site",3,2020-01-21 16:00:00.000
22,"id, passport, fake, fake id, license",94,2019-08-05 17:55:40.800
22,"id, fake, passport, fake id, license",449,2019-10-29 08:00:00.000
22,"uncut coca, coca empire, coca, cocaine uncut, colombian cocaine",1,2020-01-21 16:00:00.000
23,"drug, drugsuk, drugs, anyone, vendor",87,2019-08-05 17:55:40.800
23,"drug, drugsuk, drugs, vendor, anyone",468,2019-10-29 08:00:00.000
23,"without return, letter goody, goody without, goody, return address",1,2020-01-21 16:00:00.000
24,"coke, coke vendor, best coke, uk, good coke",98,2019-08-05 17:55:40.800
24,"coke, coke vendor, best coke, best, uk coke",445,2019-10-29 08:00:00.000
24,"vendors selective, selective shipping, international vendors, selective, vendors",1,2020-01-21 16:00:00.000
25,"pill, xtc, xtc pill, pills, ecstasy",95,2019-08-05 17:55:40.800
25,"pill, xtc, xtc pill, pills, ecstasy",411,2019-10-29 08:00:00.000
25,"week half, marked sent, usd cashout, favorite email, half accepted",3,2020-01-21 16:00:00.000
26,"counterfeit, note, euro, money, counterfeit money",88,2019-08-05 17:55:40.800
26,"counterfeit, note, euro, money, counterfeit euro",394,2019-10-29 08:00:00.000
26,"shitpost hello, hello going, shitpost, hello, going",1,2020-01-21 16:00:00.000
27,"ketamine, ketamine vendor, ketamine review, domestic, uk",74,2019-08-05 17:55:40.800
27,"ketamine, ketamine vendor, ketamine review, review, mdma ketamine",390,2019-10-29 08:00:00.000
27,"url list, red bentuangie, amount dried, powder orally, measured amount",3,2020-01-21 16:00:00.000
28,"wsm, wsm wsm, wsm vendor, vendor wsm, vendor",74,2019-08-05 17:55:40.800
28,"wsm, wsm wsm, wsm vendor, vendor wsm, vendor",404,2019-10-29 08:00:00.000
28,"wsm, flavorz cart, tried flavorz, mode usaconnect, forget beware",7,2020-01-21 16:00:00.000
29,"meth, crystal meth, crystal, meth vendor, methamphetamine",92,2019-08-05 17:55:40.800
29,"meth, crystal meth, crystal, meth vendor, methamphetamine",385,2019-10-29 08:00:00.000
29,"usps transit, facility day, onslaught, next facility, transit next",2,2020-01-21 16:00:00.000
30,"ticket, support ticket, support, please, ticket support",73,2019-08-05 17:55:40.800
30,"ticket, support ticket, support, please, month",405,2019-10-29 08:00:00.000
