Topic,Words,Frequency,Timestamp,Name
0,"database, db, databases, data, dump",136,2018-08-19 18:48:57.600,Data Collection
0,"database, data, db, dbs, records",55,2019-04-21 04:48:00.000,Data Collection
0,"database, data, db, databases, dump",7582,2021-04-19 19:12:00.000,Data Collection
1,"hacking, android, programming, malware, course",97,2018-08-19 18:48:57.600,Windows Hacking Course
1,"python, programming, exploit, web development, programming language",38,2019-04-21 04:48:00.000,Windows Hacking Course
1,"hacking, security, course, windows, hacker",5178,2021-04-19 19:12:00.000,Windows Hacking Course
2,"mega, nsfw, onlyfans, gb, nudes",87,2018-08-19 18:48:57.600,NSFW Mega OnlyFans Pack
2,"mega, gb, porn, videos, collection",16,2019-04-21 04:48:00.000,NSFW Mega OnlyFans Pack
2,"mega, onlyfans, collection, gb, nsfw",4223,2021-04-19 19:12:00.000,NSFW Mega OnlyFans Pack
3,"email, mail, pass, access, mail access",77,2018-08-19 18:48:57.600,Email Pass Access Combo
3,"email, pass, mail, email pass, access",37,2019-04-21 04:48:00.000,Email Pass Access Combo
3,"email, pass, mail, email pass, access",4178,2021-04-19 19:12:00.000,Email Pass Access Combo
4,"qawlu, la, lkms gatita yan, signboom, rjt",85,2018-08-19 18:48:57.600,MMA Fights
4,"hamood, hamood habibi, habibi, altgen, puma death ruth",36,2019-04-21 04:48:00.000,MMA Fights
4,"the, kek, de, dodgy, vs",4586,2021-04-19 19:12:00.000,MMA Fights
5,"combo, hq, combolist, gaming, combos",58,2018-08-19 18:48:57.600,Gaming Combo List
5,"combolist, hq, combo, private, combos",22,2019-04-21 04:48:00.000,Gaming Combo List
5,"combo, combolist, hq, private, gaming",2881,2021-04-19 19:12:00.000,Gaming Combo List
6,"accounts, account, premium, capture, legends",72,2018-08-19 18:48:57.600,Origin Account Capture
6,"accounts, account, premium, origin, accounts league",41,2019-04-21 04:48:00.000,Origin Account Capture
6,"accounts, account, premium, capture, with",3536,2021-04-19 19:12:00.000,Origin Account Capture
7,"htb, root, hackthebox, flags, writeup",38,2018-08-19 18:48:57.600,Hack The Box Root Flags Writeup
7,"flags, writeup, flag, htb, hackthebox",18,2019-04-21 04:48:00.000,Hack The Box Root Flags Writeup
7,"htb, flag, writeup, hackthebox, root",2219,2021-04-19 19:12:00.000,Hack The Box Root Flags Writeup
8,"leak, leaked, leaked download, database, database leaked",36,2018-08-19 18:48:57.600,Data Leak
8,"leak, leaked, database, database leaked, leaked download",13,2019-04-21 04:48:00.000,Data Leak
8,"leak, leaked, leaked download, database leaked, download",1978,2021-04-19 19:12:00.000,Data Leak
9,"hello, hi, new, hey, im",32,2018-08-19 18:48:57.600,Hello New Member
9,"hello, new, guys please part amazing, hello guys please part, please part amazing community",6,2019-04-21 04:48:00.000,Hello New Member
9,"hello, hi, new, hey, im",1694,2021-04-19 19:12:00.000,Hello New Member
10,"raid, raidforums, server, plz, plz plz",38,2018-08-19 18:48:57.600,Server Raids
10,"raid, server, raid server, raidforums, raid this server with",14,2019-04-21 04:48:00.000,Server Raids
10,"raid, raidforums, server, raid raid, raiding",2004,2021-04-19 19:12:00.000,Server Raids
11,"anime, manga, asa akira, asa, akira",19,2018-08-19 18:48:57.600,Anime Favorites
11,"anime, long anime going live, recommendation pls, english subbed latest, come anime how",9,2019-04-21 04:48:00.000,Anime Favorites
11,"anime, manga, animes, best, naruto",1092,2021-04-19 19:12:00.000,Anime Favorites
12,"money, bitcoin, make, earn, crypto",32,2018-08-19 18:48:57.600,Earn Bitcoin Free Crypto Money Methods
12,"investment, investment lost, thefly, free bitcoins without, poc bluekeep",10,2019-04-21 04:48:00.000,Earn Bitcoin Free Crypto Money Methods
12,"crypto, money, bitcoin, make, btc",1769,2021-04-19 19:12:00.000,Earn Bitcoin Free Crypto Money Methods
13,"vpn, nordvpn, nord, nord vpn, premium",26,2018-08-19 18:48:57.600,NordVPN Premium Accounts
13,"expressvpn, vpn, nordvpn, keys, residential vpn",8,2019-04-21 04:48:00.000,NordVPN Premium Accounts
13,"vpn, nordvpn, nord, accounts, premium",983,2021-04-19 19:12:00.000,NordVPN Premium Accounts
14,"netflix, spotify, minecraft, hulu, combo",17,2018-08-19 18:48:57.600,words or less
14,"netflix, spotify, steam, hq, vpn",13,2019-04-21 04:48:00.000,words or less
14,"netflix, spotify, steam, minecraft, combo",1106,2021-04-19 19:12:00.000,words or less
15,"twitch, streamer, youtube, raid, livestream",18,2018-08-19 18:48:57.600,Twitch Raid Streams
15,"twitch, streamer, all sports streams without, trans neko streamer, without harassing ads",9,2019-04-21 04:48:00.000,Twitch Raid Streams
15,"twitch, youtube, streamer, stream, raid",1233,2021-04-19 19:12:00.000,Twitch Raid Streams
16,"song, music, favourite music, album, favourite",19,2018-08-19 18:48:57.600,Music Favorite
16,"nose bleeds, bleeds loss hearing, likes arabic music, likes arabic, who likes arabic music",3,2019-04-21 04:48:00.000,Music Favorite
16,"music, song, songs, favorite, cd",980,2021-04-19 19:12:00.000,Music Favorite
17,"spotify, spotify premium, premium, accounts, spotify premium accounts",16,2018-08-19 18:48:57.600,Spotify Premium Accounts
17,"spotify, spotify premium, premium, spotify premium accounts, spotify premium accounts working",9,2019-04-21 04:48:00.000,Spotify Premium Accounts
17,"spotify, spotify premium, premium, accounts, spotify accounts",839,2021-04-19 19:12:00.000,Spotify Premium Accounts
18,"dox, doxing, andres, dox get, sexy youtuber windygirk",16,2018-08-19 18:48:57.600,Doxing Tutorial
18,"dox, free dox see, see details, free dox see details, isp doxing nigguhga",3,2019-04-21 04:48:00.000,Doxing Tutorial
18,"dox, doxing, dox dox, doxed, doxxing",791,2021-04-19 19:12:00.000,Doxing Tutorial
19,"discord, server, discord server, dm discord, discord account",19,2018-08-19 18:48:57.600,Discord Server Tokens
19,"discord, discord server, server, pedo, discord server you",10,2019-04-21 04:48:00.000,Discord Server Tokens
19,"discord, discord server, server, tokens, discord tokens",852,2021-04-19 19:12:00.000,Discord Server Tokens
20,"banned, scam, report, scam report, banned scam",13,2018-08-19 18:48:57.600,Scam
20,"scam, scam report, report, resolved, resolved scam",6,2019-04-21 04:48:00.000,Scam
20,"scam, scam report, report, banned, banned scam",655,2021-04-19 19:12:00.000,Scam
21,"proxies, proxy, socks, http proxies pieces, proxies pieces",10,2018-08-19 18:48:57.600,Proxy Lists
