Topic,Words,Frequency,Timestamp,Name
0,"vendor, weed, xanax, cocaine, mg",1541,2019-08-05 17:55:40.800,Drug Vendor Europe
0,"vendor, weed, cocaine, xanax, uk",264,2019-10-20 21:36:00.000,Drug Vendor Europe
0,"weed bc, minor easily, easily buy, ksalol escrow, bc ca",10,2019-11-15 04:48:00.000,Drug Vendor Europe
0,"vendor, dream, range, products, review",21,2019-12-10 12:00:00.000,Drug Vendor Europe
0,"vendor, weed, xanax, mg, cocaine",6781,2020-01-04 19:12:00.000,Drug Vendor Europe
0,"vendor, cocaine, market, shop, scamming moment",27,2020-01-30 02:24:00.000,Drug Vendor Europe
0,"lsd price, lsd, price, weed, xanax",1,2020-03-20 16:48:00.000,Drug Vendor Europe
1,"market, empire, dream, vendor, nightmare",1085,2019-08-05 17:55:40.800,Dream Vendor Nightmare
1,"market, empire, dream, vendor, nightmare",189,2019-10-20 21:36:00.000,Dream Vendor Nightmare
1,"which international, bit bazar, vendor ausworthy, ausworthy, ausworthy stealth",4,2019-11-15 04:48:00.000,Dream Vendor Nightmare
1,"market, collection, vendor, empire, dream",15,2019-12-10 12:00:00.000,Dream Vendor Nightmare
1,"market, empire, dream, vendor, nightmare",4918,2020-01-04 19:12:00.000,Dream Vendor Nightmare
1,"market, empire, dream, vendor, amp",24,2020-01-30 02:24:00.000,Dream Vendor Nightmare
1,"avenger, market, empire, dream, nightmare",1,2020-03-20 16:48:00.000,Dream Vendor Nightmare
2,"vendor, scammer, scam, looking, anyone",1268,2019-08-05 17:55:40.800,Trusted Vendor Scams
2,"vendor, scammer, scam, new, looking",216,2019-10-20 21:36:00.000,Trusted Vendor Scams
2,"pound, pound pound, ozs starting, indoor ozs, high discreet",3,2019-11-15 04:48:00.000,Trusted Vendor Scams
2,"vendor, darknet, rule, banned, dh vendor",25,2019-12-10 12:00:00.000,Trusted Vendor Scams
2,"vendor, scammer, scam, looking, new",5374,2020-01-04 19:12:00.000,Trusted Vendor Scams
2,"vendor, rate, month, shop recommendation, network buyer",21,2020-01-30 02:24:00.000,Trusted Vendor Scams
3,"review, vendor, vendor review, review vendor, mg",720,2019-08-05 17:55:40.800,Vendor MDMA Review
3,"review, vendor, vendor review, review vendor, market",129,2019-10-20 21:36:00.000,Vendor MDMA Review
3,"would roll, slab dab, greenbeanusa update, dab vendor, call possible",4,2019-11-15 04:48:00.000,Vendor MDMA Review
3,"review, chan, worth owe, pillkingeu, spontaneously worth",9,2019-12-10 12:00:00.000,Vendor MDMA Review
3,"review, vendor, vendor review, review vendor, mg",3354,2020-01-04 19:12:00.000,Vendor MDMA Review
3,"review, new, vendor review, update new, vendor",14,2020-01-30 02:24:00.000,Vendor MDMA Review
4,"vendor, mdma, get, market, lsd",1104,2019-08-05 17:55:40.800,Drug Discussion
4,"vendor, market, lsd, review, get",206,2019-10-20 21:36:00.000,Drug Discussion
4,"press quality, emv store, porting number, shoot cocaine, hand crank",5,2019-11-15 04:48:00.000,Drug Discussion
4,"guys like, good guys, one bos, bigbossuk wsm, markets crosspost",12,2019-12-10 12:00:00.000,Drug Discussion
4,"vendor, mdma, lsd, market, looking",4953,2020-01-04 19:12:00.000,Drug Discussion
4,"droplocation, yet libertas, dnm porn, administrative level, unclepsycadelic",19,2020-01-30 02:24:00.000,Drug Discussion
5,"order, vendor, package, shipping, delivery",490,2019-08-05 17:55:40.800,Order Shipping & Tracking
5,"order, vendor, package, shipping, delivery",85,2019-10-20 21:36:00.000,Order Shipping & Tracking
5,"time improved, has milkman, hey noobs, selling heavy, xanax distribution",5,2019-11-15 04:48:00.000,Order Shipping & Tracking
5,"order, balance, first, olan var, pure sinolan",8,2019-12-10 12:00:00.000,Order Shipping & Tracking
5,"order, vendor, shipping, package, delivery",2175,2020-01-04 19:12:00.000,Order Shipping & Tracking
5,"order, admin, photograhic evidence, photograhic, vendor relaunch",13,2020-01-30 02:24:00.000,Order Shipping & Tracking
6,"bitcoin, card, wallet, vendor, btc",494,2019-08-05 17:55:40.800,Financial Services and Products
6,"bitcoin, card, wallet, vendor, btc",78,2019-10-20 21:36:00.000,Financial Services and Products
6,"good cali, cali eu, recommend good, anyone recommend, eu vendor",1,2019-11-15 04:48:00.000,Financial Services and Products
6,"pedophile caught, operation sentenced, security operation, requirement create, introducing quickdope",4,2019-12-10 12:00:00.000,Financial Services and Products
6,"bitcoin, card, wallet, vendor, btc",2234,2020-01-04 19:12:00.000,Financial Services and Products
6,"bars, card, student loan, email incase, sb ml",12,2020-01-30 02:24:00.000,Financial Services and Products
