Topic,Words,Frequency,Timestamp,Custom_Name_GenAI
0,"link, cart, price, weed, vendor",2112,2018-02-14 07:22:04.800,Product Reviews and Purchases
1,"deposit, address, ticket, btc, wallet",778,2018-02-14 07:22:04.800,Empire Deposit & Withdrawal Issues
2,"key, pgp, account, pgp key, message",826,2018-02-14 07:22:04.800,PGP Key Security
3,"order, shipped, day, ordered, week",498,2018-02-14 07:22:04.800,Order Shipping Status
4,"scam, scammer, scam scam, scammed, scam scam scam",444,2018-02-14 07:22:04.800,Vendor Scams and Detection
5,"thanks, thank, lol, good, man",674,2018-02-14 07:22:04.800,Friendly Positive Talk
6,"ship, country, shipping, vendor, eu",501,2018-02-14 07:22:04.800,Shipping in EU Countries
7,"coke, cocaine, good, vendor, link",433,2018-02-14 07:22:04.800,High Quality Cocaine
8,"card, carding, cc, gift, gift card",479,2018-02-14 07:22:04.800,Carding Strategies
9,"pgp, begin pgp, begin, pgp signature, signature",384,2018-02-14 07:22:04.800,PGP Signature End
10,"lsd, tab, ug, acid, vendor",387,2018-02-14 07:22:04.800,LSD Tab Marketplace Reviews
11,"vendor, link subscriber link, subscriber link, link subscriber, subscriber",376,2018-02-14 07:22:04.800,Vendor Recommendation
12,"dispute, refund, order, vendor, day",307,2018-02-14 07:22:04.800,Dispute Resolution
13,"wsm, market, vendor, dream, order",315,2018-02-14 07:22:04.800,WSM Exit Scam Warnings
14,"nt, get, gram gram, gram gram gram, like",339,2018-02-14 07:22:04.800,Drugs and Police Enforcement
15,"monero, xmr, wallet, btc, exchange",450,2018-02-14 07:22:04.800,Monero Wallet Exchange and Bitcoin Use
16,"ddos, attack, ddos attack, market, dream",289,2018-02-14 07:22:04.800,Dread Market DDoS Attack
17,"mdma, mda, price, vendor, market",291,2018-02-14 07:22:04.800,MDMA Vendor Quality Prices
18,"darknet, clearnet, link, dark, nt",310,2018-02-14 07:22:04.800,Darknet Market
19,"link, post, sub, mod, banned",278,2018-02-14 07:22:04.800,Dread Market Forum Rules and Bans
20,"bar, alp, vendor, hulk, like",341,2018-02-14 07:22:04.800,Alprazolam Pressed Bars Reviews
21,"xanax, bar, vendor, alp, mg",292,2018-02-14 07:22:04.800,Xanax Bars and Vendors
22,"market, nt, new market, good, like",253,2018-02-14 07:22:04.800,Market Upgrade Support
23,"feedback, review, vendor, negative, positive",261,2018-02-14 07:22:04.800,ecommerce feedback
24,"mirror, working, working mirror, mirror link, link",176,2018-02-14 07:22:04.800,Mirror Link Working
25,"mg, pill, vendor, price, product",584,2018-02-14 07:22:04.800,Drug Sales
26,"box, mail, package, address, po",413,2018-02-14 07:22:04.800,Mail Delivery Issues
27,"review, thanks, thanks review, review thanks, nice review",169,2018-02-14 07:22:04.800,Positive Reviews Thank You Notes Nice
28,"ticket, support ticket, support, se en, se",177,2018-02-14 07:22:04.800,Support Ticket Confusion
29,"cryptonia, market, empire, vendor, nightmare",207,2018-02-14 07:22:04.800,Cryptonia Market
30,"escrow, vendor, fe, market, use escrow",183,2018-02-14 07:22:04.800,Market Escrow Usage
31,"onion, false, dot onion, dot, link",147,2018-02-14 07:22:04.800,Onion Links
32,"det, er, og, har, jeg",164,2018-02-14 07:22:04.800,Kola;Vendor;Stealth Shipping;Review;Norway
33,"tor, browser, network, javascript, service",184,2018-02-14 07:22:04.800,Anonymous Browsing and Tor Networks
34,"dread, post, reddit, nt, like",149,2018-02-14 07:22:04.800,community appreciation
35,"meth, fentanyl, vendor, business day, business",171,2018-02-14 07:22:04.800,Meth Vendor Quality Review
36,"fent, fentanyl, opiate, heroin, nt",259,2018-02-14 07:22:04.800,Fentanyl Opiate Discussion
37,"link, link link, post, point link comment, link point link",209,2018-02-14 07:22:04.800,Links and Posts
38,"pack, week, day, got, ordered",227,2018-02-14 07:22:04.800,Package Delay and Shipping
39,"pm, interested, looking, find, please",187,2018-02-14 07:22:04.800,PM Interested Help Explanation
40,"hugbunter, hugbunter hugbunter, link hugbunter, hugbunter link, link hugbunter hugbunter",136,2018-02-14 07:22:04.800,hugbunter links
41,"drug, police, dark web, web, court",141,2018-02-14 07:22:04.800,Darknet Drug Enforcement
42,"stealth, good, vendor, good stealth, order",140,2018-02-14 07:22:04.800,Good Stealth Vendor Shipping
43,"counterfeit, note, euro, bill, pen",145,2018-02-14 07:22:04.800,Counterfeit Money Sales
44,"empire, nightmare, empire empire, find empire, empire nightmare",148,2018-02-14 07:22:04.800,Empire Name Search
45,"day, week, waiting, month, time",251,2018-02-14 07:22:04.800,Waiting Time
46,"id, passport, fake, license, scan",151,2018-02-14 07:22:04.800,Fake IDs & Documents
47,"bank, account, drop, bitcoin, cash",285,2018-02-14 07:22:04.800,Bank Drop Transaction
48,"wickr, pfcs, contact, use wickr, vendor",111,2018-02-14 07:22:04.800,Wickr Abuse Policy Protect Wickr Community
49,"de, und, que, un, la",117,2018-02-14 07:22:04.800,German Darknet Market
50,"phishing, link, phishing link, phished, site",151,2018-02-14 07:22:04.800,Phishing Detection Techniques
51,"dream, nightmare, dream dream, nt, anyone",114,2018-02-14 07:22:04.800,Dream Nightmare Experience
52,"price, sale, good, sell, promo",161,2018-02-14 07:22:04.800,Sale;Promotional Offers;Good Deals
53,"tails, tail, usb, electrum, file",175,2018-02-14 07:22:04.800,Tails;Electrum;Persistent File;USB Installation
54,"adderall, amphetamine, mg, dispute, pill",120,2018-02-14 07:22:04.800,Adderall Replacement Pills
55,"cancel, order, auto, cancel order, day",143,2018-02-14 07:22:04.800,Auto Cancel Orders
56,"mushroom, shrooms, cubensis, link, good",101,2018-02-14 07:22:04.800,Mushroom Guide & Dosage Information
57,"ketamine, gm, hendricks, gm gm, vendor",111,2018-02-14 07:22:04.800,Ketamine Vendor Quality Shard
58,"exit, exit scam, scam, exit scamming, exit scammed",107,2018-02-14 07:22:04.800,Exit Scam Market
59,"phone, crawler, number, burner, sim",116,2018-02-14 07:22:04.800,Burner Phone Usage
60,"dream, market, dream market, nightmare, vendor",132,2018-02-14 07:22:04.800,Dream Market
61,"bond, vendor bond, vendor, bond back, back",94,2018-02-14 07:22:04.800,Vendor Bond Waiver Market
62,"vpn, tor, use, using, proxy",145,2018-02-14 07:22:04.800,VPN and Tor Use
63,"jabber, telegram, xmpp, pidgin, otr",95,2018-02-14 07:22:04.800,Jabber/XMPP/OTR Chat Clients
64,"dmt, psychedelics, per, cdnven, psychedelic",108,2018-02-14 07:22:04.800,DMT Psychedelics Prices
65,"captcha, page, link, captchas, nt",70,2018-02-14 07:22:04.800,Captcha Issues in Darknet Market
66,"sample, free sample, free, review, sample pack",105,2018-02-14 07:22:04.800,Free Sample Order
67,"update, issue, problem, fixed, working",211,2018-02-14 07:22:04.800,Fixed Bug Issue
68,"cgmc, invite, vendor, dark web, market",66,2018-02-14 07:22:04.800,CGMC Invites
69,"apollon, market, apollon market, empire, vendor",86,2018-02-14 07:22:04.800,Apollon Market Update
70,"paypal, transfer, account, paypal account, paypal transfer",122,2018-02-14 07:22:04.800,PayPal Account Transfer
71,"giveaway, win, number, winner, link",105,2018-02-14 07:22:04.800,Giveaways & Contests
72,"pm, working link, link, link please, please",75,2018-02-14 07:22:04.800,Working Link Requests
73,"darkfail, link, fail, dark, dark fail",105,2018-02-14 07:22:04.800,Dark Fail Links Question
74,"empire, market, empire market, nightmare, vendor",168,2018-02-14 07:22:04.800,Empire Market Vendor Feedback
75,"package, pack, day, tracking, delivery",254,2018-02-14 07:22:04.800,Package Delivery Tracking
76,"bag, dog, seal, mylar, vac",73,2018-02-14 07:22:04.800,Smuggling Methods & Detection
77,"opsec, opsec opsec, link opsec, opsec link, opsec opsec link",53,2018-02-14 07:22:04.800,Opsec Guidance
78,"link, working, working link, main link, link working",137,2018-02-14 07:22:04.800,Link issues
79,"money, pay, link bubbakush, bubbakush, get",64,2018-02-14 07:22:04.800,Money Losses
